Jack Nicholson
Ralph Fiennes
Daniel Day-Lewis
Robert De Niro
Al Pacino
Dustin Hoffman
Tom Hanks
Brad Pitt
Anthony Hopkins
Marlon Brando
Jeremy Irons
Denzel Washington
Gene Hackman
Jeff Bridges
Tim Robbins
Henry Fonda
William Hurt
Kevin Costner
Clint Eastwood
Leonardo DiCaprio
Mel Gibson
Robert Duvall
Samuel L. Jackson
Tommy Lee Jones
Kevin Spacey
Nicolas Cage
Kevin Kline
Morgan Freeman
Michael Caine
Russell Crowe
Bruce Willis
Johnny Depp
Ben Kingsley
Steve McQueen
Tom Cruise
Heath Ledger
Philip Seymour Hoffman
John Malkovich
Christian Bale
Richard Dreyfuss
Jason Robards
Colin Firth
George Clooney
Edward Norton
Sean Connery
Yves Montand
Richard Gere
Gary Oldman
Harrison Ford
Matt Damon
John Gielgud
Joe Pesci
Paul Newman
Woody Harrelson
John Hurt
Sean Penn
Christopher Walken
Mickey Rourke
Peter O'Toole
Michael Douglas
Willem Dafoe
Charlton Heston
Forest Whitaker
James Coburn
Liam Neeson
Will Smith
Robin Williams
Keanu Reeves
Harvey Keitel
Michael Madsen
Kevin Bacon
Ed Harris
Alain Delon
Chris Cooper
Gérard Depardieu
Justin Theroux
Nick Nolte
Val Kilmer
Joaquin Phoenix
Jared Leto
Laurence Fishburne
Antonio Banderas
John Travolta
John Goodman
Arnold Schwarzenegger
Adrien Brody
Michael Keaton
Billy Bob Thornton
Hugo Weaving
Sam Shepard
Jude Law
Geoffrey Rush
Roberto Benigni
Jürgen Prochnow
Alec Baldwin
Joseph Fiennes
Sebastian Koch
F. Murray Abraham
Javier Bardem
John Wayne
